feature_a,feature_b,spearman_correlation,abs_spearman_correlation
dist_low_24h,dist_low_168h,0.4249916238029627,0.4249916238029627
bb_pctb_20h,oi_chg_24h,0.42357324559352083,0.42357324559352083
ret_12h,oi_chg_24h,0.42113967782773576,0.42113967782773576
ret_3h,dist_high_24h,0.4187082459050562,0.4187082459050562
vol_168h,dist_low_96h,0.41745049574961596,0.41745049574961596
ret_6h,ret_24h,0.4169001829387654,0.4169001829387654
ret_3h,dist_low_24h,0.4132926981613809,0.4132926981613809
ret_3h,macd_hist_1h,0.407613754763328,0.407613754763328
taker_buy_ratio_1h,oi_chg_1h,0.4070532331901869,0.4070532331901869
ret_3h,rsi_14h,0.4063812339893279,0.4063812339893279
ret_3h,eth_ret_1h,0.4037782505004948,0.4037782505004948
dist_low_168h,eth_ret_24h,0.40128540195148127,0.40128540195148127
taker_buy_ratio_24h,eth_ret_24h,0.3999678916457066,0.3999678916457066
vol_168h,bb_bw_20h,0.39923541785511707,0.39923541785511707
vol_6h,vol_168h,0.39900467386328686,0.39900467386328686
ret_96h,eth_ret_24h,0.39737045213628885,0.39737045213628885
vol_96h,dist_high_168h,-0.3948261835480982,0.3948261835480982
rsi_14h,dist_high_168h,0.394614277848463,0.394614277848463
dist_high_168h,oi_chg_24h,0.3913961728358978,0.3913961728358978
vol_ratio_6_96,bb_bw_20h,0.3903202679196229,0.3903202679196229
dist_low_96h,dist_high_168h,0.39028090053420106,0.39028090053420106
vol_96h,dist_low_24h,0.38534942700436364,0.38534942700436364
bb_pctb_20h,dist_high_168h,0.385270116280724,0.385270116280724
dist_low_168h,eth_ret_168h,0.38328156334047037,0.38328156334047037
trades_z_168h,dow_sin,0.37522965391293717,0.37522965391293717
vol_ratio_6_96,dow_sin,0.3745212735840991,0.3745212735840991
ret_168h,dist_low_96h,0.3744793425343399,0.3744793425343399
ret_12h,dist_high_168h,0.37395852606250696,0.37395852606250696
ret_24h,macd_hist_1h,0.37384837784825814,0.37384837784825814
ret_3h,oi_chg_1h,0.3733295811811559,0.3733295811811559
vol_96h,dist_low_168h,0.37116692961798053,0.37116692961798053
dist_high_96h,taker_buy_ratio_24h,0.3709242364170445,0.3709242364170445
atr_pct_14h,trades_z_168h,0.3706078978743349,0.3706078978743349
