feature,dtype,rows,missing_count,missing_ratio,unique_count,is_numeric,infinite_count,is_constant,mean,std,min,q01,q50,q99,max,spearman_to_target
close_btc,float64,271797,0,0.0,164657,True,0,False,2855.1098983432485,756.1807418312102,1396.81,1577.3896000000002,2748.32,4600.861599999999,4950.0,0.4303086199008464
compression_release_up,float64,271797,0,0.0,131223,True,0,False,0.03791206588910657,0.07804518510465829,0.0,0.0,0.0,0.36444946875136364,1.0,0.0021884334144372493
count_long_short_ratio,float64,271797,0,0.0,268184,True,0,False,1.4709970617868484,0.6170715499016068,0.41390842,0.5044544592,1.40224965,3.0752465256,4.20692986,-0.2865725125214404
cross_scale_curvature,float64,271797,0,0.0,271797,True,0,False,-2.4365346811899533e-06,0.0005802645623961639,-0.0141639531180733,-0.001680814114020288,-5.559734836541987e-07,0.0016525549133820428,0.01833754453414,0.0007179810167978823
crowding_pressure,float64,271797,0,0.0,271774,True,0,False,0.015995980013338622,0.35972491842075394,-0.9990840825215054,-0.7755999499062384,0.0198594407788484,0.7894657372717369,0.9984578584132284,-0.006248029186399543
cvd_12,float64,271797,0,0.0,271797,True,0,False,-0.006013157555525311,0.10057489916895264,-0.620151715785026,-0.24679924043613416,-0.0070193053974407,0.23590564493086935,0.5587874541316529,-0.017159099285736324
cvd_288,float64,271797,0,0.0,271797,True,0,False,-0.0050703619539467434,0.027605755427655566,-0.1233083266445667,-0.06884616232632072,-0.0058538385634953,0.06313012126272895,0.47887091131333,-0.04741254436349758
cvd_48,float64,271797,0,0.0,271797,True,0,False,-0.005266886345449706,0.05583716086946278,-0.448287442198149,-0.14037365456205403,-0.0063488792191607,0.13855771236578815,0.47887091131333,-0.027138064577551614
cvd_breakout_z,float64,271797,0,0.0,271763,True,0,False,0.0007682161992362968,0.22386822166347511,-1.0,-0.5202969916285882,-0.0003325756319372,0.527553393782438,1.0,0.0010938071196279818
cvd_slope_12,float64,271797,0,0.0,271795,True,0,False,-6.4698024423340686e-06,0.07253589753169148,-0.6984564783413952,-0.19011292490401863,4.025026231251061e-05,0.19078485592662145,0.5858584830973079,0.0005561118117293322
cvp_cluster_position,float64,271797,0,0.0,238488,True,0,False,0.5046333329498159,0.3109690392082747,0.0,0.0,0.5068080051174174,1.0,1.0,-0.0023626319741559877
